UserId;CheckId;ProductName;ProductCost;MerchantName;MCC
0;20;Творог;40;Магнит;5441
0;3;Липтон;60;Магнит;5441
0;28;Вареники;199;Магнит;5441
0;1;Мандарины;60;Магнит;5441
0;19;Доширак;60;Магнит;5441
0;24;Ченок;60;Пятёрочка;5441
0;25;Сок;60;Магнит;5441
0;7;Липтон;60;Пятёрочка;5441
0;11;Макароны;80;Магнит;5441
0;19;Хлеб ржаной;40;Магнит;5441
0;26;Пицца;200;Магнит;5441
0;2;Картофель фри;239;Магнит;5441
0;28;Йогурт;60;Магнит;5441
0;1;Гречка;85;Магнит;5441
0;19;Ченок;60;Магнит;5441
0;15;Батончики;90;Пятёрочка;5441
0;5;Бритва;80;Пятёрочка;5441
0;6;Ченок;60;Пятёрочка;5441
0;12;Грибы грузди солёные;130;Магнит;5441
0;12;Творог;60;Магнит;5441
0;19;Грибы грузди солёные;130;Магнит;5441
0;29;Леденцы;40;Пятёрочка;5441
0;27;Лук;40;Пятёрочка;5441
0;21;Йогурт;60;Магнит;5441
0;22;Семечки;45;Магнит;5441
0;3;Пельмени;250;Магнит;5441
0;24;Авокадо;100;Пятёрочка;5441
0;10;Авокадо;60;Магнит;5441
0;27;Батончики;60;Пятёрочка;5441
0;28;Леденцы;50;Магнит;5441
0;25;Ряженка;80;Магнит;5441
0;12;Конфеты;120;Магнит;5441
0;6;Пицца;200;Пятёрочка;5441
0;18;Расклешенные джинсы;1500;shein.com;5691
0;11;Хлеб белый;30;Магнит;5441
0;14;Цыплёнок табака;250;Пятёрочка;5441
0;23;Пельмени;230;Пятёрочка;5441
0;10;Пиво;100;Магнит;5441
0;22;Мандарины;60;Магнит;5441
0;1;Гречка;85;Магнит;5441
0;22;Лапша;120;Магнит;5441
0;14;Пюре;40;Пятёрочка;5441
0;8;Вареники;259;Пятёрочка;5441
0;17;Вязаный жилет с текстовым узором;1600;shein.com;5691
0;5;Бритва;120;Пятёрочка;5441
0;20;Цыплёнок табака;250;Магнит;5441
0;29;Вареники;259;Пятёрочка;5441
0;28;Вареники;199;Магнит;5441
0;25;Купаты;150;Магнит;5441
0;11;Грибы грузди солёные;130;Магнит;5441
0;3;Крабовые палочки;189;Магнит;5441
0;11;Свинина;899;Магнит;5441
0;21;Колбаса докторская;80;Магнит;5441
0;8;Хлебцы;30;Пятёрочка;5441
0;8;Мороженое;50;Пятёрочка;5441
0;15;Сухарики;40;Пятёрочка;5441
0;2;Бритва;120;Магнит;5441
0;2;Чай чёрный;120;Магнит;5441
0;15;Nan; - ₽ ;Пятёрочка;5441
0;21;Яблоко;30;Магнит;5441
0;22;Лук;20;Магнит;5441
